userId,movieId,rating,timestamp,user_idx,movie_idx
249,97913,4.5,1359928372,248,8022
51,1276,5.0,1230929673,50,975
298,96610,4.0,1447598591,297,7979
91,593,4.5,1112712144,90,510
414,8361,3.0,1216150432,413,5161
45,1676,4.0,950740565,44,1261
108,25,4.0,1042838964,107,24
610,48774,5.0,1493844967,609,6330
18,16,4.5,1461311583,17,15
387,48304,4.0,1205649606,386,6305
199,1387,5.0,940380653,198,1067
414,5282,2.5,1059666278,413,3778
364,783,3.0,869443802,363,618
546,1249,5.0,973588348,545,948
479,3360,4.0,1039362497,478,2512
342,2605,3.0,1042822039,341,1962
181,494,3.0,845470321,180,431
10,77841,2.0,1455302684,9,7331
318,81834,4.0,1292075170,317,7465
298,109487,3.0,1447518025,297,8376
132,56367,3.0,1329983441,131,6638
462,1225,3.5,1121921051,461,926
445,1197,5.0,1454622090,444,899
192,266,4.0,835129083,191,229
117,497,4.0,844163168,116,434
527,1198,5.0,1033175704,526,900
24,1370,3.5,1458941866,23,1053
111,34162,4.5,1516141022,110,5938
92,2087,4.5,1294941405,91,1550
546,3566,3.0,973588490,545,2664
474,2111,3.0,1046887386,473,1573
588,36,2.0,839316709,587,33
169,2795,4.5,1059428155,168,2101
610,59022,4.0,1493846893,609,6729
514,1179,4.0,1533945171,513,884
67,4993,2.0,1501274083,66,3638
474,4979,4.0,1129579371,473,3628
425,79132,4.5,1281209161,424,7372
381,1967,5.0,1200824370,380,1444
555,1,4.0,978746159,554,0
453,788,4.0,1005967347,452,622
104,37729,3.5,1357584407,103,6005
139,3578,2.5,1453924097,138,2674
105,4011,5.0,1446573339,104,2996
91,1234,4.0,1112713646,90,934
51,3949,5.0,1230932031,50,2945
476,153,3.0,835021342,475,126
606,2870,4.0,1171760885,605,2155
135,457,4.0,1009691164,134,398
509,2081,3.5,1436000053,508,1545
331,1391,3.5,1537235369,330,1071
590,3507,3.5,1267421732,589,2622
509,661,3.5,1436000131,508,551
219,4649,4.0,1198782921,218,3418
414,44191,4.0,1144255732,413,6151
480,37382,1.5,1179164520,479,5995
555,851,3.0,978749155,554,657
329,50,2.0,1523468332,328,46
16,3949,4.0,1377477886,15,2945
600,2985,2.0,1237851151,599,2248
534,8368,3.5,1459787995,533,5166
139,5502,2.5,1453924270,138,3915
45,1377,2.0,951170693,44,1060
68,4681,3.0,1269123495,67,3436
542,46976,4.0,1163386756,541,6256
328,4011,4.0,1494210542,327,2996
217,434,3.0,955942112,216,378
434,41566,2.0,1270602530,433,6075
231,63082,5.0,1433089546,230,6885
456,9,4.0,856883450,455,8
160,2252,0.5,1065984386,159,1673
580,110,4.5,1167789859,579,97
288,1732,5.0,978559623,287,1298
217,2816,3.0,955941703,216,2119
